declarationDate,disasterName,stateCode,stateName,declarationRequestDate,Days Diff,Quarter
2024-09-11T00:00:00.000Z,AIRPORT FIRE,CA,California,2024-09-10T00:00:00.000Z,1,3
2024-09-11T00:00:00.000Z,BRIDGE FIRE,CA,California,2024-09-10T00:00:00.000Z,1,3
2024-09-11T00:00:00.000Z,SEVERE STORMS AND FLOODING,VT,Vermont,2024-08-21T00:00:00.000Z,21,3
2024-09-16T00:00:00.000Z,HURRICANE FRANCINE,LA,Louisiana,2024-09-12T00:00:00.000Z,4,3
2024-09-20T00:00:00.000Z,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",CT,Connecticut,2024-09-09T00:00:00.000Z,11,3
2024-09-20T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODNG",IL,Illinois,2024-08-28T00:00:00.000Z,23,3
2024-09-20T00:00:00.000Z,SEVERE STORM AND FLOODING,NY,New York,2024-08-26T00:00:00.000Z,25,3
2024-09-24T00:00:00.000Z,WILDFIRES,WA,Washington,2024-08-26T00:00:00.000Z,29,3
2024-09-24T00:00:00.000Z,TROPICAL STORM DEBBY,GA,Georgia,2024-09-10T00:00:00.000Z,14,3
2024-09-24T00:00:00.000Z,REMNANTS OF TROPICAL STORM DEBBY,NY,New York,2024-09-06T00:00:00.000Z,18,3
2024-09-24T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",KS,Kansas,2024-09-03T00:00:00.000Z,21,3
2024-09-24T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",NE,Nebraska,2024-09-04T00:00:00.000Z,20,3
2024-09-24T00:00:00.000Z,TROPICAL STORM HELENE,FL,Florida,2024-09-23T00:00:00.000Z,1,3
2024-09-26T00:00:00.000Z,HURRICANE HELENE,SC,South Carolina,2024-09-26T00:00:00.000Z,0,3
2024-09-26T00:00:00.000Z,HURRICANE HELENE,AL,Alabama,2024-09-25T00:00:00.000Z,1,3
2024-09-26T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",VT,Vermont,2024-08-28T00:00:00.000Z,29,3
2024-09-26T00:00:00.000Z,HURRICANE HELENE,NC,North Carolina,2024-09-25T00:00:00.000Z,1,3
2024-09-26T00:00:00.000Z,HURRICANE HELENE,GA,Georgia,2024-09-25T00:00:00.000Z,1,3
2024-09-27T00:00:00.000Z,TROPICAL STORM HELENE,TN,Tennessee,2024-09-27T00:00:00.000Z,0,3
2024-09-28T00:00:00.000Z,HURRICANE HELENE,FL,Florida,2024-09-28T00:00:00.000Z,0,3
2024-09-28T00:00:00.000Z,TROPICAL STORM HELENE,NC,North Carolina,2024-09-27T00:00:00.000Z,1,3
2024-09-29T00:00:00.000Z,POST-TROPICAL CYCLONE HELENE,VA,Virginia,2024-09-28T00:00:00.000Z,1,3
2024-09-29T00:00:00.000Z,TROPICAL STORM DEBBY,SC,South Carolina,2024-09-16T00:00:00.000Z,13,3
2024-09-29T00:00:00.000Z,HURRICANE HELENE,SC,South Carolina,2024-09-28T00:00:00.000Z,1,3
2024-09-30T00:00:00.000Z,HURRICANE HELENE,GA,Georgia,2024-09-30T00:00:00.000Z,0,3
2024-09-30T00:00:00.000Z,ELK FIRE,WY,Wyoming,2024-09-30T00:00:00.000Z,0,3
2024-10-01T00:00:00.000Z,TROPICAL STORM HELENE,VA,Virginia,2024-09-30T00:00:00.000Z,1,4
2024-10-02T00:00:00.000Z,TROPICAL STORM HELENE,TN,Tennessee,2024-09-30T00:00:00.000Z,3,4
2024-10-04T00:00:00.000Z,WATCH FIRE,AZ,Arizona,2024-08-16T00:00:00.000Z,49,4
2024-10-06T00:00:00.000Z,BEAR DEN FIRE,ND,North Dakota,2024-10-06T00:00:00.000Z,0,4
2024-10-06T00:00:00.000Z,ELK HORN FIRE,ND,North Dakota,2024-10-06T00:00:00.000Z,0,4
2024-10-07T00:00:00.000Z,HURRICANE MILTON,FL,Florida,2024-10-06T00:00:00.000Z,1,4
2024-10-08T00:00:00.000Z,HURRICANE MILTON,FL,Florida,2024-10-06T00:00:00.000Z,2,4
2024-10-11T00:00:00.000Z,HURRICANE MILTON,FL,Florida,2024-10-11T00:00:00.000Z,0,4
2024-10-16T00:00:00.000Z,FLOODING,AK,Alaska,2024-09-19T00:00:00.000Z,27,4
2024-10-19T00:00:00.000Z,POTENTIAL TROPICAL CYCLONE EIGHT,NC,North Carolina,2024-10-16T00:00:00.000Z,3,4
2024-10-21T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",NE,Nebraska,2024-08-29T00:00:00.000Z,53,4
